,$ 4 100,2021,Kia,K5,85800 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված
,$ 132 000,2023,Land,Rover Range Rover,3500 կմ , Ամենագնաց, Դիզել, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված
,$ 229 000,2018,Jeep,Cherokee,86000 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ, Մաքսազերծված
,$ 19 500,2020,Hyundai,Sonata,27000 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Այլ գույն, Մաքսազերծված
,$ 18 500,2018,Kia,Stinger,44000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված
,$ 23 000,2023,Toyota,Corolla,15000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված
,Պայմ.,1996,Mercedes-Benz,C 180,467271 կմ , Սեդան, Գազ, Մեխանիկական, Ձախ, Արծաթագույն, Մաքսազերծված
,Պայմ.,1998,Opel,Astra,349000 կմ , Հետչբեք, Բենզին, Մեխանիկական, Ձախ, Արծաթագույն, Մաքսազերծված
,$ 4 800,1999,Opel,Zafira,400000 կմ , Մինիվեն / Միկրոավտոբուս, Բենզին և գազ, Մեխանիկական, Ձախ, Սև, Մաքսազերծված
,$ 3 900,2020,Jeep,Cherokee,100600 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Մաքսազերծված
,$ 15 900,2021,Kia,Forte,100000 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված
,$ 13 000,2002,Toyota,Vitz,217000 կմ , Հետչբեք, Գազ, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված
,$ 6 100,2006,Mercedes-Benz,SLK 350,227000 կմ , Կաբրիոլետ / Ռոդսթեր, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված
,$ 11 500,2006,Kia,Sorento,174000 մղոն , Ամենագնաց, Բենզին և գազ, Ավտոմատ, Ձախ, Արծաթագույն, Մաքսազերծված
,$ 8 800,2020,Dodge,Journey,120000 կմ , Ունիվերսալ, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Մաքսազերծված
,$ 17 000,2011,Kia,Sorento,159000 մղոն , Ամենագնաց, Գազ, Ավտոմատ, Ձախ, Սև, Մաքսազերծված
,$ 10 500,2019,Lexus,LX 570,82000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված
,$ 102 300,2021,BMW,X5,66000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված
,$ 17 000,2023,Hyundai,Elantra,56749 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 2 000,2024,Hyundai,Elantra,47059 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 2 700,2019,Toyota,Camry,44228 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 6 500,2020,Kia,Sportage,57696 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 13 500,2020,Toyota,Corolla,47094 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Աճուրդում
,$ 65 000,2020,Toyota,Camry,50745 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 3 500,2020,Kia,Rio,29000 մղոն , Հետչբեք, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված
,$ 9 800,2015,Ford,Focus,201500 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Կապույտ, Մաքսազերծված
,$ 7 700,2008,Lexus,IS 250,166000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված
,$ 9 500,2021,BMW,X5,18534 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 25 200,2020,Kia,Sportage,31471 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 5 400,2018,Chevrolet,Cruze,66050 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 2 000,2019,Subaru,Legacy,92841 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 3 000,2022,Mercedes-Benz,EQC,4300 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված չ
,€ 112 200,2020,Kia,Forte,70669 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 2 900,2023,Mercedes-Benz,EQC,7374 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված չ
,€ 47 000,2020,Ford,Escape,64408 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 3 500,2019,Lexus,RX 350,75032 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 13 000,2025,Mercedes-Benz,GLA 200,9900 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 36 600,2019,Nissan,Murano,63679 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 4 300,2019,Nissan,Murano,80169 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 5 000,2019,Jeep,Cherokee,64146 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 4 000,2019,Jeep,Cherokee,62463 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 4 100,2019,Nissan,Versa,53739 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Աճուրդում
,$ 2 100,2019,Jeep,Cherokee,39328 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 4 000,2021,BMW,X5,43913 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 25 000,2018,Nissan,Rogue,63468 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Աճուրդում
,$ 3 000,2021,Lexus,ES 300h,41160 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 15 000,2019,Subaru,Impreza,58764 մղոն , Հետչբեք, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 2 500,2022,Toyota,Camry,40362 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 12 600,2024,Lexus,LX 600,10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,$ 123 900,2021,Hyundai,Kona,99000 մղոն , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 7 800,2020,Toyota,Camry,58411 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 9 000,2025,Rolls,Royce Cullinan,50 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 562 500,2025,BMW,i5,2990 կմ , Սեդան, Էլեկտրական, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված չ
,€ 57 700,2024,Mercedes-Benz,GLE 53 AMG Coupe,28900 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված չ
,€ 90 700,2019,Chevrolet,Equinox,72575 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 3 600,2019,Mitsubishi,Outlander,66772 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 4 500,2019,Mercedes-Benz,CLA 250,59047 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 18 500,2019,Nissan,Murano,58611 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 4 700,2022,BMW,iX,10 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 31 500,2022,Audi,Q8,39975 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 57 100,2024,Porsche,Cayenne,10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 132 000,2022,BMW,X7,34451 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 37 600,2024,BMW,X7,15502 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 78 600,2021,BMW,X6,47778 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 33 000,2023,Audi,Q7,25763 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Մաքսազերծված չ
,€ 62 000,2021,BMW,X3,46477 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 7 000,2021,Lexus,NX 300h,30236 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 15 500,2024,Rolls,Royce Spectre,80 կմ , Կուպե, Էլեկտրական, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,$ 4 300,2025,Porsche,Macan,25 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 57 200,2023,Mercedes-Benz,EQB,12978 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Արծաթագույն, Մաքսազերծված չ
,€ 28 000,2024,BMW,X6,35616 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 69 700,2025,Porsche,Cayenne,220 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 151 100,2023,Mercedes-Benz,CLS 55 AMG,18000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 79 900,2020,Toyota,Rav 4,51836 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 5 300,2023,BMW,520,32900 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,$ 18 500,2025,Land,Rover Range Rover Sport,10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 130 300,2022,Kia,K5,24189 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 8 500,2022,Toyota,Bz4X,18500 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 26 800,2021,Honda,Accord,52809 մղոն , Սեդան, Հիբրիդ, Ավտոմատ, Ձախ, Կարմիր, Աճուրդում
,$ 7 400,2021,Honda,Accord,26059 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 7 500,2022,Toyota,Rav 4,18156 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 12 800,2022,Mercedes-Benz,CLS 450,19086 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 16 500,2019,Hyundai,Kona,78118 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 4 000,2021,Mercedes-Benz,E 350,86358 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 20 000,2019,Nissan,Sentra,20527 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 2 300,2019,Nissan,Sentra,42975 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 2 100,2019,Chevrolet,Equinox,62456 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 4 000,2019,Nissan,Versa,71168 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 2 300,2019,Dodge,Challenger,61667 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 5 300,2019,Subaru,Outback,88293 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 30 000,2018,Dodge,Charger,61160 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 3 500,2018,Dodge,Challenger,83874 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 7 000,2021,Tesla,Model Y,38487 մղոն , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 13 100,2022,Mercedes-Benz,S 580,45810 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 71 500,2020,Mercedes-Benz,G 63 AMG,45000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 130 100,2021,BMW,X5,67340 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 27 000,2019,Nissan,Versa,25371 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 2 300,2020,Toyota,Highlander,68516 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ, Աճուրդում
,$ 17 000,2023,Mercedes-Benz,GLE 400,8042 կմ , Կուպե, Հիբրիդ, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված չ
,€ 75 200,2025,Lexus,LX 500d,10 կմ , Ամենագնաց, Դիզել, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,$ 144 300,2024,Lexus,LX 600,13000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,$ 13 500,2024,BMW,X5 M,14647 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 113 400,2020,Lexus,ES 250,100000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված
,$ 33 000,2025,BMW,iX,1000 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 84 100,2019,Lexus,ES 300,10248 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 2 500,2019,Lexus,IS 300,61487 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 9 500,2019,Hyundai,Tucson,53347 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 5 000,2019,Lexus,ES 350,84808 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 11 000,2025,Mercedes-Benz,GLS 600 Maybach,50 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,€ 206 800,2022,Dodge,Charger,42876 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Աճուրդում
,$ 4 300,2023,Toyota,Bz4X,12900 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 27 700,2025,Toyota,Bz4X,500 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Կապույտ, Մաքսազերծված չ
,€ 38 700,2022,BMW,X5,31470 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 3 000,2018,Lexus,GX 460,74924 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 17 000,2022,Toyota,Rav 4,51622 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 12 800,2020,Toyota,Rav 4,72446 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կարմիր, Աճուրդում
,$ 9 700,2022,Toyota,Rav 4,42091 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 13 000,2019,Toyota,C-HR,30446 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 5 200,2021,Toyota,C-HR,10 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 8 000,2018,Toyota,C-HR,79359 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 4 500,2020,Toyota,C-HR,66250 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 6 900,2020,Toyota,C-HR,51933 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 7 000,2018,Subaru,Forester,79257 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ, Աճուրդում
,$ 3 500,2025,BMW,X3,5000 կմ , Ամենագնաց, Գազ, Ավտոմատ, Ձախ, Սև, Մաքսազերծված չ
,€ 46 700,2024,BMW,X2,11760 կմ , Ամենագնաց, Դիզել, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված չ
,€ 30 200,2023,BMW,X2,15600 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված չ
,$ 14 300,2021,Nissan,Versa,44000 մղոն , Սեդան, Բենզին և գազ, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված
,$ 12 300,2020,Jeep,Wrangler,112000 կմ , Ունիվերսալ, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված
,$ 40 000,2013,Chevrolet,Volt,139000 կմ , Չվթարված, Հետչբեք, Հիբրիդ, Ավտոմատ, Ձախ, Մաքսազերծված
,$ 6 700,2008,Mercedes-Benz,G 500,1111 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված
,Պայմ.,2019,BMW,X3,80000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված
,$ 26 000,2007,Mercedes-Benz,G 500,235000 կմ , Ամենագնաց, Գազ, Ավտոմատ, Ձախ, Սև, Մաքսազերծված
,$ 44 000,2017,Chevrolet,Malibu,195000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված
,֏ 4 500 000,2022,Mazda,CX5,20500 կմ , Ունիվերսալ, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված
,$ 17 000,2021,VAZ,(Lada) NIVA Legend,70000 կմ , Ամենագնաց, Գազ, Մեխանիկական, Ձախ, Սպիտակ, Մաքսազերծված
,$ 52 000,2021,BMW,M5,38000 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Այլ գույն, Մաքսազերծված
,$ 75 000,2013,Chevrolet,Volt,160000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Բալագույն, Մաքսազերծված
,$ 7 300,2016,Chrysler,200,125000 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված
,$ 16 000,2020,Hyundai,Elantra,59594 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 3 800,2021,Toyota,Tundra,51747 մղոն , Պիկապ, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 18 000,2021,Tesla,Model 3,22613 մղոն , Սեդան, Էլեկտրական, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 114 000,2021,Dodge,Charger,75108 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Աճուրդում
,$ 6 200,2020,Subaru,Legacy,54178 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 3 000,2020,Subaru,Legacy,75628 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 3 100,2020,Chevrolet,Malibu,26175 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,€ 83 200,2025,BMW,iX,8000 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Կապույտ, Մաքսազերծված չ
,€ 81 000,2024,Mercedes-Benz,CLE 450,10 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 115 600,2019,Chevrolet,Cruze,63070 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 2 500,2020,Toyota,Corolla,32317 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 5 400,2021,Toyota,Camry,80602 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Աճուրդում
,$ 11 200,2019,Kia,Forte,60367 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 3 400,2019,Kia,Forte,78682 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 3 500,2023,Hyundai,Sonata,17058 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 7 000,2022,Hyundai,Sonata,44529 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,€ 176 000,2023,Honda,e:NS1,38000 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված
,$ 18 900,2018,BMW,750,127000 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Կապույտ, Մաքսազերծված
,$ 33 800,2022,Mazda,CX5,19000 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված
,$ 9 500,2012,Mercedes-Benz,Sprinter,170000 կմ , Մինիվեն / Միկրոավտոբուս, Դիզել, Մեխանիկական, Ձախ, Սպիտակ, Մաքսազերծված
,Պայմ.,2001,Ford,Transit,170000 կմ , Ֆուրգոն, Դիզել, Մեխանիկական, Ձախ, Սպիտակ, Մաքսազերծված
,Պայմ.,2008,Ford,Transit,173000 կմ , Ֆուրգոն, Դիզել, Մեխանիկական, Ձախ, Սպիտակ, Մաքսազերծված
,Պայմ.,2020,Kia,Sportage,25095 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 5 400,2011,Ford,Transit,175000 կմ , Ֆուրգոն, Դիզել, Մեխանիկական, Ձախ, Դեղին, Մաքսազերծված
,Պայմ.,2021,Subaru,Forester,64064 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Աճուրդում
,$ 5 500,2020,Toyota,Corolla,85934 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 5 100,2020,Lexus,RX 350,46941 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
,$ 14 200,2020,BMW,320,37900 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Մաքսազերծված չ
,€ 27 900,2020,Ford,Explorer,41388 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Աճուրդում
